Running as unit: run-p247719-i248019.scope; invocation ID: 8a4d2ca4d44046519614b6ef258b4fb4
limited-exec: {"scope": "run-p247719-i248019.scope", "kernel_limits": {"memory.max": "3221225472", "memory.swap.max": "0", "cpu.max": "100000 100000", "pids.max": "128"}}
5.1.0 1.2.0
adduser	3.152
netbase	6.5
nettle-dev:amd64	3.10.1-1
openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2
passwd	1:4.17.4-2
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
pinentry-curses	1.3.1-2
pkg-config:amd64	1.8.1-4
pkgconf:amd64	1.8.1-4
pkgconf-bin	1.8.1-4
python3	3.13.5-1
python3-bcrypt	4.2.0-2.1+b1
python3-certifi	2025.1.31+ds-1
python3-cffi-backend:amd64	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-cryptography	43.0.0-3+deb13u1
python3-idna	3.10-1+deb13u1
python3-minimal	3.13.5-1
python3-requests	2.32.3+dfsg-5+deb13u1
python3-securesystemslib	1.2.0-2
python3-tuf	5.1.0-2
python3-urllib3	2.3.0-3+deb13u2
python3.13	3.13.5-2+deb13u4
python3.13-minimal	3.13.5-2+deb13u4
readline-common	8.2-6
ripgrep	14.1.1-1+b4
rpcsvc-proto	1.4.3-1
sed	4.9-2+deb13u1
sqv	1.3.0-3+b2
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tzdata	2026b-0+deb13u1
util-linux	2.41.5-0+deb13u1
xz-utils	5.8.1-1+deb13u1
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev:amd64	1:1.3.dfsg+really1.3.1-1+b1
zstd	1.5.7+dfsg-1
